,city,cloudiness,country,date,humidity,lat,lon,max temp,wind speed
0,azare,0,NG,1523227806,33,11.67,10.19,71.14,4.43
1,cabo san lucas,5,MX,1523224440,44,22.89,-109.91,86.0,12.75
2,warrnambool,0,AU,1523227991,92,-38.38,142.48,62.86,1.63
3,paamiut,76,GL,1523228034,95,61.99,-49.67,30.73,18.86
4,sao miguel do araguaia,56,BR,1523227939,96,-13.28,-50.16,72.49,3.87
5,mogadishu,12,SO,1523227987,100,2.04,45.34,83.65,3.87
6,notse,88,TG,1523227877,87,6.95,1.17,76.0,4.99
7,nanortalik,88,GL,1523227778,100,60.14,-45.24,27.76,9.46
8,krasnoarmeysk,0,RU,1523224800,52,56.12,38.15,41.0,8.95
9,new norfolk,75,AU,1523226600,76,-42.78,147.06,55.4,19.46
10,zhigansk,88,RU,1523228027,74,66.77,123.37,18.76,10.47
11,katsuura,0,JP,1523224800,50,33.93,134.5,51.8,6.93
12,kalabo,24,ZM,1523227918,94,-15.0,22.67,64.21,3.65
13,boralday,20,KZ,1523224800,93,43.36,76.86,35.6,2.19
14,taber,90,CA,1523225400,85,49.79,-112.14,23.0,8.05
15,kudahuvadhoo,68,MV,1523228028,100,2.67,72.89,84.28,4.43
16,ixtapa,5,MX,1523223900,65,20.71,-105.21,78.8,12.75
17,florian,1,US,1523226900,30,48.44,-96.63,30.2,3.36
18,torbay,90,CA,1523224800,100,47.66,-52.73,30.2,17.22
19,vestmannaeyjar,64,IS,1523227992,87,63.44,-20.27,40.54,24.23
20,puqi,0,CN,1523227806,64,29.72,113.88,62.32,9.57
21,plyussa,20,RU,1523227823,89,58.42,29.37,37.66,4.21
22,grand gaube,40,MU,1523224800,78,-20.01,57.66,78.8,4.7
23,yurla,0,RU,1523227891,82,59.33,54.32,24.7,7.45
24,college,1,US,1523224680,35,64.86,-147.8,42.8,9.17
25,lukovetskiy,0,RU,1523224800,100,64.29,41.92,21.2,2.24
26,edd,0,ER,1523227923,66,13.93,41.69,74.11,1.97
27,sivaki,0,RU,1523227883,41,52.63,126.75,39.01,3.65
28,charyshskoye,24,RU,1523227963,85,51.4,83.56,30.1,6.44
29,mana,0,RS,1523224800,66,43.52,20.24,55.4,3.36
30,port lincoln,36,AU,1523227798,73,-34.72,135.86,73.3,10.8
31,marzuq,0,YE,1523227964,90,14.4,46.47,50.44,2.3
32,lorengau,24,PG,1523227943,100,-2.02,147.27,82.93,3.2
33,saint-pierre,0,FR,1523224800,76,48.95,4.24,59.0,8.05
34,shache,48,CN,1523227938,81,38.42,77.24,39.91,3.42
35,ikwiriri,100,TZ,1523227971,100,-7.96,38.99,75.46,2.3
36,vilhena,75,BR,1523224800,94,-12.74,-60.15,75.2,3.36
37,barrow,56,AR,1523227715,74,-38.31,-60.23,64.03,5.99
38,pirenopolis,75,BR,1523224800,93,-15.85,-48.96,66.2,3.36
39,caravelas,76,BR,1523227896,100,-17.73,-39.27,81.13,13.6
40,ribeira grande,0,PT,1523227740,100,38.52,-28.7,60.16,4.76
41,muscat,0,OM,1523224200,34,23.6,58.55,82.4,4.7
42,saint-augustin,90,FR,1523224800,93,44.83,-0.61,51.8,5.82
43,husavik,56,CA,1523227764,65,50.56,-96.99,24.43,5.66
44,miraflores,92,CO,1523228034,100,5.2,-73.14,53.95,2.08
45,nova olimpia,0,BR,1523227842,91,-14.8,-57.29,77.98,2.42
46,fare,68,PF,1523227821,100,-16.7,-151.02,82.57,7.78
47,bara,56,NG,1523227924,16,10.41,10.6,84.73,8.01
48,grindavik,75,IS,1523226600,69,63.84,-22.43,39.2,23.04
49,birin,0,SY,1523227844,85,35.01,36.67,47.2,4.65
50,labuhan,20,ID,1523227979,85,-2.54,115.51,76.81,2.42
51,ulladulla,0,AU,1523224800,43,-35.36,150.48,69.8,1.12
52,biltine,0,TD,1523227918,24,14.53,20.93,67.0,8.01
53,wanning,0,AT,1523224200,66,48.64,13.53,53.6,3.36
54,sorong,24,ID,1523227891,100,-0.86,131.25,81.76,4.09
55,lao cai,8,VN,1523227933,91,22.48,103.95,52.06,1.3
56,catalao,44,BR,1523227932,88,-18.17,-47.95,69.61,5.99
57,taoudenni,64,ML,1523228031,15,22.68,-3.98,74.11,8.12
58,tigil,56,RU,1523227929,89,57.8,158.67,31.09,11.03
59,port moresby,20,PG,1523224800,88,-9.47,147.16,80.6,5.82
60,dingzhou,0,CN,1523224800,56,38.51,115.0,39.2,2.24
61,aksarka,88,RU,1523227796,83,66.56,67.8,21.46,5.44
62,peace river,40,CA,1523224800,53,56.23,-117.29,24.8,6.93
63,gushikawa,20,JP,1523226600,63,26.35,127.87,62.6,4.7
64,baiyin,0,CN,1523224800,68,36.55,104.13,32.0,4.47
65,saldanha,92,PT,1523228003,100,41.42,-6.55,41.53,6.67
66,butaritari,0,KI,1523227814,100,3.07,172.79,81.4,8.9
67,prince albert,5,CA,1523224800,45,53.2,-105.75,23.0,4.7
68,chuy,92,UY,1523227841,89,-33.69,-53.46,68.26,6.78
69,raudeberg,92,NO,1523226000,93,61.99,5.14,41.0,3.36
70,qinhuangdao,0,CN,1523227912,37,39.94,119.59,48.19,6.11
71,vieste,8,IT,1523227879,90,41.88,16.18,59.17,17.96
72,cherskiy,76,RU,1523227721,84,68.75,161.3,12.55,2.19
73,manokwari,8,ID,1523227818,100,-0.87,134.08,82.12,5.21
74,birjand,0,IR,1523224800,66,32.86,59.22,51.8,4.7
75,hobart,75,AU,1523224800,82,-42.88,147.33,55.4,17.22
76,san quintin,75,PH,1523224800,83,17.54,120.52,73.4,3.87
77,saladoblanco,64,CO,1523227890,95,1.99,-76.05,60.43,1.74
78,vila velha,0,BR,1523224800,88,-3.71,-38.6,78.8,4.7
79,cam ranh,80,VN,1523227743,100,11.92,109.15,73.75,14.27
80,kyren,92,RU,1523227964,91,51.68,102.13,28.03,2.64
81,chicama,40,PE,1523224800,83,-7.84,-79.15,71.6,6.93
82,victoria,75,BN,1523226600,94,5.28,115.24,78.8,7.78
83,zanjan,12,IR,1523227915,79,36.67,48.48,20.83,2.19
84,richards bay,64,ZA,1523227858,91,-28.77,32.06,70.42,1.74
85,westport,0,IE,1523227920,96,53.8,-9.52,39.1,2.75
86,norsup,88,VU,1523227925,100,-16.07,167.38,79.06,9.46
87,ponta do sol,48,BR,1523227794,91,-20.63,-46.0,66.55,3.09
88,kieta,80,PG,1523227859,89,-6.22,155.63,83.92,7.9
89,danilov,24,RU,1523227845,79,58.19,40.17,25.69,2.98
90,provideniya,40,RU,1523224800,79,64.42,-173.23,19.4,15.66
91,la romana,40,DO,1523224800,78,18.43,-68.97,82.4,13.87
92,nosy varika,88,MG,1523227783,100,-20.58,48.53,72.31,4.54
93,san policarpo,80,PH,1523227816,100,12.18,125.51,78.52,7.45
94,hofn,88,IS,1523228028,100,64.25,-15.21,35.95,9.24
95,longyearbyen,40,NO,1523224200,78,78.22,15.63,14.0,3.36
96,jamestown,0,AU,1523227815,28,-33.21,138.6,75.73,4.32
97,saint-philippe,90,CA,1523226900,78,45.36,-73.48,32.0,18.34
98,simao,24,CN,1523227968,94,22.76,100.79,55.21,1.97
99,seydi,0,NE,1523227999,34,13.34,7.75,68.71,4.21
100,terra santa,32,BR,1523227922,82,-2.1,-56.49,80.23,4.43
101,pamanukan,48,ID,1523227813,100,-6.28,107.82,81.31,3.98
102,sindor,68,RU,1523227880,86,62.87,51.9,26.5,2.75
103,marevo,0,BA,1523224800,76,43.57,18.7,50.0,3.36
104,kisangani,76,CD,1523227900,98,0.52,25.21,72.49,2.19
105,carballo,75,ES,1523226600,87,43.21,-8.69,48.2,2.24
106,kamenka,32,RU,1523227813,86,53.19,44.05,29.29,9.91
107,avarua,75,CK,1523224800,78,-21.21,-159.78,82.4,4.7
108,svetlogorsk,75,RU,1523224800,85,53.14,59.15,32.0,13.42
109,waddan,76,LY,1523227781,29,29.16,16.14,63.76,6.89
110,monrovia,40,LR,1523223000,94,6.33,-10.8,78.8,6.11
111,mount gambier,0,AU,1523227578,78,-37.83,140.78,65.02,3.42
112,nalut,0,LY,1523227835,31,31.86,10.98,62.68,6.78
113,whitianga,36,NZ,1523227960,100,-36.83,175.7,67.9,11.03
114,kreminna,0,UA,1523227887,67,49.05,38.22,41.44,8.01
