Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,Overall,Overall,"1,249",17.4,16.2,18.7,321,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,1,BO1,CAT1,MEDCOST,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,Overall,Overall,"7,380",82.6,81.3,83.8,322,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,1,BO1,CAT1,MEDCOST,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"7,825",86.1,84.9,87.3,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,BO1,CAT1,HLTHPLN1,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,806,13.9,12.7,15.1,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,BO1,CAT1,HLTHPLN1,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"6,680",72.1,70.6,73.6,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP063,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,801,11.7,10.6,12.8,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP064,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,418,6.7,5.9,7.5,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP065,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,501,8.3,7.4,9.3,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP066,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,77,1.2,0.8,1.6,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP067,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"6,312",66.5,65,68,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,1,BO1,CAT1,PERSDOC2,RESP050,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,"1,047",10,9.2,10.9,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,1,BO1,CAT1,PERSDOC2,RESP053,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,275",23.5,22,25,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,1,BO1,CAT1,PERSDOC2,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,650",82.5,81.1,84,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,1,BO1,CAT1,_HCVU651,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,790,17.5,16,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,1,BO1,CAT1,_HCVU651,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,Overall,Overall,447,11.9,10.5,13.4,321,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,2,BO1,CAT1,MEDCOST,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,Overall,Overall,"3,924",88.1,86.7,89.5,322,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,2,BO1,CAT1,MEDCOST,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"3,905",85,83.4,86.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,BO1,CAT1,HLTHPLN1,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,448,15,13.3,16.6,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,BO1,CAT1,HLTHPLN1,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"2,725",57.8,55.6,59.9,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP063,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,686,16.3,14.7,17.8,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP064,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,415,11.7,10.2,13.1,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP065,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,473,13.2,11.7,14.8,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP066,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,35,1.1,0.5,1.6,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP067,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"2,599",53.4,51.3,55.5,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,2,BO1,CAT1,PERSDOC2,RESP050,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,565,12.6,11.2,13.9,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,2,BO1,CAT1,PERSDOC2,RESP053,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,152",34,31.9,36.1,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,2,BO1,CAT1,PERSDOC2,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,882",82.9,81,84.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,2,BO1,CAT1,_HCVU651,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,430,17.2,15.3,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,2,BO1,CAT1,_HCVU651,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,Overall,Overall,"1,623",15.5,14.4,16.6,321,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,4,BO1,CAT1,MEDCOST,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,Overall,Overall,"13,182",84.5,83.4,85.6,322,%,Crude Prevalence,,,BRFSS,CLASS07,Topic28,4,BO1,CAT1,MEDCOST,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"13,749",85.6,84.4,86.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,4,BO1,CAT1,HLTHPLN1,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,"1,053",14.4,13.3,15.6,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,4,BO1,CAT1,HLTHPLN1,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"10,859",63.9,62.5,65.3,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP063,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,"1,827",15.1,14,16.1,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP064,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,"1,005",10.8,9.8,11.8,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,4,BO1,CAT1,CHECKUP1,RESP065,"(34.865970280000454, -111.76381127699972)"
