id,state,abbr,poverty,healthStatus,0.856074066
1,Alabama,AL,19.3,22.9,
2,Alaska,AK,11.2,13.4,
3,Arizona,AZ,18.2,19,
4,Arkansas,AR,18.9,23.5,
5,California,CA,16.4,18.1,
6,Colorado,CO,12,13.2,
7,Connecticut,CT,10.8,14.3,
8,Delaware,DE,12.5,15.6,
9,District of Columbia,DC,17.7,12.9,
10,Florida,FL,16.5,19.3,
11,Georgia,GA,18.3,18.8,
12,Hawaii,HI,11.4,14.6,
13,Idaho,ID,14.8,13.1,
14,Illinois,IL,14.4,17.3,
15,Indiana,IN,15.2,18.9,
16,Iowa,IA,12.2,13.6,
17,Kansas,KS,13.6,15.4,
18,Kentucky,KY,19.1,24.3,
19,Louisiana,LA,19.8,21.7,
20,Maine,ME,14.1,15.1,
21,Maryland,MD,10.1,14.2,
22,Massachusetts,MA,11.6,14.5,
23,Michigan,MA,16.2,16.8,
24,Minnesota,MN,11.5,12,
25,Mississippi,MS,21.5,22.1,
26,Missouri,MO,15.5,16.9,
27,Montana,MT,15.4,15.4,
28,Nebraska,NE,12.4,13.2,
29,Nevada,NV,15.2,18.5,
30,New Hampshire,NH,9.2,13.7,
31,New Jersey,NJ,11.1,16.9,
32,New Mexico,NM,21.3,20.7,
33,New York,NY,15.9,17.2,
34,North Carolina,NC,17.2,19,
35,North Dakota,ND,11.5,14.1,
36,Ohio,OH,15.8,17.9,
37,Oklahoma,OK,16.6,20.5,
38,Oregon,OR,16.6,15.6,
39,Pennsylvania,PA,13.6,17.1,
40,Rhode Island,RI,14.3,15.3,
41,South Carolina,SC,18,19.7,
42,South Dakota,SD,14.2,14,
43,Tennessee,TN,18.3,23.8,
44,Texas,TX,17.2,19.5,
45,Utah,UT,11.7,12.1,
46,Vermont,VT,12.2,11.7,
47,Virginia,VA,11.8,16.9,
48,Washington,WA,13.2,16,
49,West Virginia,WV,18.3,25.8,
50,Wisconsin,WI,13.2,15.5,
51,Wyoming,WY,11.2,13.7,
52,Puerto Rico,PR,46.2,35.4,
